"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2,U1";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";2;"MAX4257";;;
2;"R6";"R_1206_3216Metric";1;"11k";;;
3;" ";"TerminalBlock_Altech_AK300-3_P5.00mm";1;" ";;;
4;"POWER";"TerminalBlock_Altech_AK300-2_P5.00mm";1;" ";;;
5;"R13,R12,R14";"R_1206_3216Metric";3;"33k";;;
6;"DPDT Switch";"SW_DPDT_CK_JS202011JCQN";1;" ";;;
7;"R4,R1";"R_1206_3216Metric";2;"44M";;;
8;"U3";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"TL072";;;
9;"R15";"R_1206_3216Metric";1;"56k";;;
10;"C9,C4";"C_1206_3216Metric";2;"1uf";;;
11;"R16,R18,R17";"R_1206_3216Metric";3;"0";;;
12;"R19,R11,R10";"R_1206_3216Metric";3;"47k";;;
13;"C2";"C_1206_3216Metric";1;"0.47uf";;;
14;"R3,R9,R2";"R_1206_3216Metric";3;"100k";;;
15;"R8,R7";"R_1206_3216Metric";2;"221k";;;
16;"R5";"R_1206_3216Metric";1;"10k";;;
17;"C6,C8";"C_1206_3216Metric";2;"4.7uf";;;
18;"C7,C5";"C_1206_3216Metric";2;"47uf";;;
19;"C1";"C_1206_3216Metric";1;"10pf";;;
20;"C3";"C_1206_3216Metric";1;"100pf";;;
